Nm,Bm_N,Bm_S,Fm
361.0,235.0,223.0,5.83
364.0,243.0,213.0,5.85
366.0,231.0,229.0,5.87
370.0,245.0,209.0,5.84
376.0,232.0,232.0,5.91
378.0,236.0,241.0,5.91
379.0,234.0,216.0,5.78
38.0,239.0,218.0,5.88
380.0,238.0,223.0,5.87
382.0,245.0,213.0,5.89
386.0,243.0,216.0,5.75
389.0,230.0,227.0,5.89
391.0,231.0,229.0,5.88
397.0,241.0,216.0,5.83
399.0,241.0,209.0,5.8
40.0,239.0,226.0,5.97
400.0,230.0,226.0,5.9
401.0,239.0,225.0,5.9
403.0,241.0,212.0,5.79
405.0,231.0,230.0,5.92
407.0,238.0,221.0,5.86
409.0,231.0,228.0,5.96
41.0,232.0,229.0,5.89
410.0,244.0,218.0,5.91
411.0,229.0,227.0,5.87
412.0,236.0,224.0,5.83
413.0,237.0,222.0,5.86
42.0,239.0,220.0,5.86
420.0,239.0,218.0,5.85
421.0,233.0,231.0,5.96
424.0,239.0,223.0,5.87
425.0,243.0,215.0,5.86
430.0,238.0,227.0,5.91
437.0,237.0,235.0,5.96
443.0,233.0,232.0,5.98
444.0,240.0,222.0,5.89
445.0,232.0,231.0,5.95
446.0,241.0,213.0,5.8
452.0,239.0,216.0,5.82
458.0,238.0,219.0,5.87
459.0,244.0,216.0,5.91
463.0,231.0,230.0,5.93
466.0,241.0,211.0,5.8
469.0,239.0,221.0,5.87
470.0,230.0,230.0,5.94
471.0,234.0,228.0,5.92
472.0,241.0,226.0,5.92
475.0,236.0,226.0,5.87
477.0,238.0,217.0,5.86
481.0,232.0,231.0,5.94
483.0,240.0,220.0,5.88
484.0,243.0,215.0,5.87
486.0,231.0,230.0,5.88
501.0,234.0,233.0,5.95
504.0,240.0,211.0,5.82
550.0,242.0,222.0,5.9
551.0,241.0,216.0,5.84
552.0,237.0,225.0,5.85
553.0,233.0,222.0,5.81
558.0,241.0,214.0,5.85
559.0,243.0,215.0,5.87
562.0,235.0,226.0,5.8
563.0,241.0,220.0,5.9
566.0,242.0,216.0,5.86
568.0,232.0,231.0,5.92
569.0,231.0,231.0,5.92
570.0,239.0,221.0,5.86
577.0,239.0,213.0,5.83
578.0,239.0,223.0,5.85
581.0,238.0,224.0,5.84
583.0,236.0,231.0,5.97
585.0,243.0,218.0,5.85
587.0,235.0,236.0,6.0
588.0,245.0,218.0,5.89
590.0,233.0,232.0,5.97
595.0,237.0,220.0,5.94
596.0,244.0,214.0,5.87
597.0,235.0,232.0,5.98
