Nm,Nm_pm,Bn,Bs,Bav,Fb,Fb_pm
101,161,233,237,235.0,5.94,7.55
102,163,218,244,231.0,5.91,
103,164,221,239,230.0,5.87,7.45
104,165,219,246,232.5,5.89,7.48
105,166,223,238,230.5,5.87,
106,167,233,237,235.0,5.98,7.6
107,168,213,250,231.5,5.88,
108,169,230,232,231.0,5.87,7.46
109,170,228,239,233.5,5.96,7.57
110,171,233,233,233.0,5.93,7.53
111,172,238,224,231.0,5.91,7.51
112,173,240,220,230.0,5.85,7.43
113,174,230,229,229.5,,
114,175,231,229,230.0,5.86,7.44
115,177,224,237,230.5,5.91,7.5
116,178,230,230,230.0,5.87,7.45
117,179,220,239,229.5,5.84,
118,180,232,233,232.5,5.93,7.53
119,181,234,231,232.5,5.91,7.5
120,182,232,233,232.5,5.86,
121,183,230,236,233.0,5.84,7.42
122,184,231,233,232.0,,
123,185,231,229,230.0,5.91,7.5
124,186,231,224,227.5,5.87,7.45
125,187,234,218,226.0,,
126,188,240,217,228.5,5.91,7.5
127,189,243,218,230.5,5.91,7.51
128,191,231,232,231.5,5.94,7.55
129,192,217,241,229.0,5.89,7.48
130,193,233,235,234.0,5.89,
131,194,242,215,228.5,,
132,195,226,241,233.5,5.9,7.49
133,196,237,221,229.0,5.86,
134,197,236,223,229.5,5.88,7.47
135,198,241,223,232.0,5.88,7.47
136,199,220,242,231.0,5.89,
137,201,242,220,231.0,5.87,
138,202,234,221,227.5,5.83,7.4
139,203,239,223,231.0,5.9,
140,204,232,236,234.0,5.93,7.53
141,205,220,242,231.0,5.89,
142,206,234,238,236.0,5.98,7.6
143,207,240,219,229.5,5.86,
144,208,232,234,233.0,5.94,7.55
145,211,242,227,234.5,,
146,212,224,239,231.5,5.88,7.47
147,213,217,248,232.5,5.92,7.52
148,214,232,229,230.5,5.92,7.52
149,215,240,218,229.0,5.87,
150,216,240,225,232.5,5.89,7.48
151,217,222,242,232.0,5.87,7.45
152,218,233,231,232.0,5.96,
153,219,240,215,227.5,5.84,
154,221,237,222,229.5,5.83,7.41
155,222,232,231,231.5,5.92,7.52
156,223,248,224,236.0,5.99,7.61
157,224,221,237,229.0,5.85,
158,225,233,230,231.5,5.8,
159,226,239,216,227.5,5.8,
160,228,231,230,230.5,5.85,
161,229,242,213,227.5,5.83,7.4
162,231,231,234,232.5,5.97,7.58
163,234,223,245,234.0,5.92,7.52
164,235,219,249,234.0,5.96,
165,236,220,242,231.0,5.87,
166,238,237,233,235.0,6.0,7.62
167,240,237,223,230.0,,
168,241,214,246,230.0,5.85,
169,242,229,237,233.0,5.96,7.57
170,243,239,227,233.0,5.9,
171,244,214,241,227.5,5.87,7.45
172,245,235,235,235.0,6.01,7.63
173,246,242,216,229.0,5.85,
174,247,217,239,228.0,5.86,7.44
175,248,229,231,230.0,5.93,
176,249,235,229,232.0,5.94,7.54
177,251,240,216,228.0,5.82,
178,337,231,234,232.5,5.94,7.54
179,338,222,236,229.0,5.82,
180,339,216,242,229.0,5.89,
181,340,236,225,230.5,5.81,7.38
182,341,210,243,5.85,5.85,
183,342,228,229,228.5,5.86,7.44
184,343,230,229,229.5,5.89,7.48
185,344,236,224,230.0,5.84,7.42
186,345,242,211,226.5,5.85,
187,347,230,235,232.5,5.97,7.58
188,348,219,237,228.0,5.81,
189,349,213,239,226.0,5.81,7.38
190,350,219,240,229.5,5.86,
191,351,230,231,230.5,5.94,7.54
192,352,219,239,229.0,5.85,7.43
193,353,229,234,231.5,5.94,7.54
194,354,241,221,231.0,,
195,356,232,231,231.5,5.94,7.55
196,357,216,235,225.5,5.8,7.36
197,358,233,233,233.0,5.97,
198,359,232,227,229.5,,
199,361,237,224,230.5,,
200,362,223,238,230.5,5.85,
201,363,219,237,228.0,5.85,
202,364,243,213,228.0,5.85,
203,366,231,229,230.0,5.87,
204,367,222,240,231.0,5.92,7.52
205,368,231,230,230.5,,
206,369,214,240,227.0,5.83,7.41
207,370,245,209,227.0,5.84,
208,371,215,234,224.5,5.79,
209,372,230,232,231.0,5.94,7.54
210,373,229,232,230.5,5.94,7.54
211,374,224,240,232.0,5.93,7.53
212,375,214,243,228.5,5.88,
213,376,232,232,232.0,5.91,7.51
214,377,223,236,229.5,5.91,7.5
215,378,236,241,238.5,5.91,7.51
216,379,234,216,225.0,5.78,7.34
217,380,238,223,230.5,5.87,7.46
218,381,227,229,228.0,5.82,7.39
219,382,245,213,229.0,5.89,7.48
220,383,217,240,228.5,5.83,
221,384,216,238,227.0,5.76,7.32
222,385,241,212,226.5,,
223,386,243,216,229.5,5.75,
224,387,227,232,229.5,5.94,
225,388,215,239,227.0,5.79,7.35
226,389,230,227,228.5,5.89,7.48
227,390,214,238,226.0,5.75,7.3
228,391,231,229,230.0,5.88,7.47
229,392,214,241,227.5,5.86,7.44
230,394,221,240,230.5,5.91,7.5
231,396,230,232,231.0,5.93,7.53
232,397,241,216,228.5,5.83,7.41
233,398,228,230,229.0,5.93,7.53
234,399,241,209,225.0,5.8,
235,400,230,226,228.0,5.9,7.49
236,401,239,225,232.0,5.9,7.49
237,402,230,231,230.5,5.9,7.49
238,403,241,212,226.5,5.79,7.35
239,405,231,230,230.5,5.92,7.52
240,406,223,336,279.5,5.84,7.42
241,407,238,221,229.5,5.86,
242,409,231,228,229.5,5.96,
243,410,244,218,231.0,5.91,7.5
244,411,229,227,228.0,5.87,7.45
245,412,236,224,230.0,5.83,7.41
246,413,237,222,229.5,5.86,7.44
247,415,221,237,229.0,5.85,7.43
248,417,220,236,228.0,5.83,7.4
249,419,218,238,228.0,5.8,7.36
250,420,239,218,228.5,5.85,7.43
251,421,233,231,232.0,5.96,7.57
252,422,223,235,229.0,5.89,
254,423,211,237,224.0,5.76,7.31
255,425,243,215,229.0,5.86,
256,426,218,240,229.0,5.85,
257,427,238,215,226.5,5.8,
258,428,227,229,228.0,5.78,
259,429,234,214,224.0,5.76,7.31
260,430,238,227,232.5,5.91,7.5
261,431,236,215,225.5,5.76,7.31
262,432,215,235,225.0,5.73,7.28
263,433,211,244,227.5,5.83,
264,436,220,239,229.5,5.84,7.42
265,437,237,235,236.0,5.96,
266,440,232,234,233.0,5.98,7.59
267,441,220,242,231.0,5.94,7.54
268,442,217,242,229.5,5.89,7.48
269,443,233,232,232.5,5.98,7.59
270,444,240,222,231.0,5.89,
271,445,232,231,231.5,5.95,7.56
272,446,241,213,227.0,5.8,7.37
274,448,222,228,225.0,5.8,
275,449,215,237,226.0,5.79,7.35
276,452,239,216,227.5,5.82,
277,453,219,237,228.0,5.8,
278,454,227,228,227.5,5.87,7.45
279,455,229,227,228.0,5.89,7.48
280,456,219,243,231.0,5.94,7.55
281,458,238,219,228.5,5.87,7.45
282,459,244,216,230.0,5.91,7.5
283,460,219,244,231.5,5.89,
284,462,227,239,233.0,5.88,
285,463,231,230,230.5,5.93,7.53
286,464,224,239,231.5,5.88,
287,465,231,231,231.0,5.91,
288,466,241,211,226.0,5.8,
289,467,216,240,228.0,5.84,7.42
290,468,220,236,228.0,5.8,7.37
291,469,239,221,230.0,5.87,7.45
292,470,230,230,230.0,5.94,7.54
293,471,234,228,231.0,5.92,7.52
294,472,241,226,233.5,5.92,
295,474,228,236,232.0,5.88,7.47
296,475,236,226,231.0,5.87,
297,477,238,217,227.5,5.86,7.44
298,478,222,239,230.5,5.86,
299,479,221,240,230.5,5.87,7.45
300,480,231,229,230.0,5.92,7.52
301,481,232,231,231.5,5.94,7.55
302,483,240,220,230.0,5.88,7.47
303,484,243,215,229.0,5.87,
304,485,227,235,231.0,5.87,7.45
305,486,231,230,230.5,5.88,7.47
306,487,230,229,229.5,5.92,
307,488,228,234,231.0,5.9,7.49
308,489,219,232,225.5,5.79,7.35
309,490,221,241,231.0,5.86,7.44
310,491,220,239,229.5,5.88,
311,492,227,225,226.0,5.85,
312,493,223,228,225.5,5.86,
313,494,228,233,230.5,5.94,7.54
314,495,229,230,229.5,5.91,7.51
315,496,216,243,229.5,5.84,7.42
316,497,242,218,230.0,5.87,7.46
317,498,216,239,227.5,5.81,7.38
318,499,212,241,226.5,5.82,7.39
319,500,225,233,229.0,5.91,7.51
320,501,234,233,233.5,5.95,
321,502,221,239,230.0,5.8,
322,504,240,211,225.5,5.82,7.39
323,547,222,238,230.0,5.88,7.47
324,548,224,240,232.0,5.89,7.48
325,549,223,237,230.0,5.84,7.42
326,551,241,216,228.5,5.84,7.42
327,552,237,225,231.0,5.85,
328,553,233,222,227.5,5.81,7.38
329,554,216,243,229.5,5.87,
330,555,214,238,226.0,5.8,7.37
331,556,210,245,227.5,5.88,
332,557,214,236,225.0,5.77,7.33
333,558,241,214,227.5,5.85,7.43
334,559,243,215,229.0,5.87,
335,562,235,226,230.5,5.8,7.37
336,563,241,220,230.5,5.9,
337,564,225,240,232.5,5.87,
338,565,228,233,230.5,5.91,7.51
339,566,242,216,229.0,5.86,
340,567,215,241,228.0,5.85,7.43
341,568,232,231,231.5,5.92,
342,569,231,231,231.0,5.92,7.52
343,570,239,221,230.0,5.86,7.44
344,571,229,235,232.0,5.94,
345,573,225,241,233.0,5.91,
346,574,227,236,231.5,5.86,7.44
347,577,239,213,226.0,5.83,
348,578,239,223,231.0,5.85,7.43
349,579,221,236,228.5,5.85,
350,580,230,234,232.0,5.91,7.51
351,581,238,224,231.0,5.84,7.42
352,582,223,240,231.5,5.9,7.49
353,583,236,231,233.5,5.97,7.58
354,584,224,240,232.0,5.9,
355,585,243,218,230.5,5.85,
356,586,241,223,232.0,5.9,
357,587,235,236,235.5,6.0,7.62
358,588,245,218,231.5,5.89,7.48
359,591,230,235,232.5,5.95,7.56
360,592,217,242,229.5,5.91,
361,593,221,237,229.0,5.86,
362,593,222,239,230.5,5.87,7.45
363,594,227,230,228.5,5.85,
364,595,237,220,228.5,5.94,7.54
365,596,244,214,229.0,5.87,
366,597,235,232,233.5,5.98,7.6
367,601,216,246,231.0,5.91,7.51
368,602,229,232,230.5,5.94,7.55
369,603,235,235,235.0,5.98,7.59
370,604,242,216,229.0,5.85,
372,607,231,231,231.0,5.95,7.56
373,608,216,242,229.0,5.88,
374,609,241,226,233.5,5.93,
375,611,241,215,228.0,5.86,
376,612,220,243,231.5,5.92,
377,613,231,232,231.5,5.98,7.59
378,616,217,246,231.5,5.9,
379,617,237,230,233.5,5.88,7.47
380,618,231,234,232.5,5.95,7.56
381,620,232,238,235.0,5.95,
383,621,220,247,233.5,5.94,7.55
384,622,237,227,232.0,5.91,7.51
386,624,224,232,228.0,5.83,7.41
387,625,221,238,229.5,5.87,
388,627,232,233,232.5,5.9,
389,628,234,232,233.0,5.95,
390,628,240,219,229.5,5.91,7.5
391,628,248,214,231.0,5.86,7.44
392,630,240,222,231.0,5.91,7.5
393,631,222,237,229.5,5.87,7.45
394,632,242,222,232.0,5.93,7.53
395,633,243,223,233.0,5.93,
396,635,223,245,234.0,5.95,7.56
397,636,234,232,233.0,5.94,7.55
398,637,222,245,233.5,,
399,638,219,239,229.0,5.87,7.45
400,640,222,242,232.0,5.94,7.55
401,641,238,225,231.5,5.83,7.41
402,643,245,222,233.5,5.94,7.55
403,644,233,230,231.5,5.92,7.52
404,646,224,241,232.5,5.9,
405,647,224,241,232.5,5.92,7.52
406,648,237,234,235.5,5.96,7.57
407,649,222,237,229.5,5.85,
408,650,220,241,230.5,5.85,
409,651,240,221,230.5,5.85,7.43
410,652,233,230,231.5,5.94,
411,653,232,231,231.5,5.86,7.44
412,654,234,234,234.0,5.93,7.53
413,655,219,245,232.0,5.85,
414,656,222,245,233.5,5.93,7.53
415,661,217,241,229.0,5.87,7.46
416,662,237,223,230.0,5.86,
417,663,221,242,231.5,5.92,7.52
418,664,220,244,232.0,5.85,
419,669,231,232,231.5,5.95,7.56
420,670,229,234,231.5,5.96,
421,671,232,231,231.5,5.94,7.55
422,672,238,235,236.5,5.89,7.48
423,673,230,231,230.5,5.91,7.5
424,674,240,219,229.5,5.91,7.5
425,675,230,232,231.0,5.92,7.52
426,676,236,232,234.0,5.98,7.6
427,677,224,247,235.5,5.9,
428,678,238,226,232.0,5.92,7.52
429,679,234,218,226.0,5.8,7.36
430,680,217,245,231.0,5.93,
431,681,242,218,230.0,5.89,
432,682,235,231,233.0,5.96,7.57
433,683,215,244,229.5,5.85,
434,684,228,233,230.5,5.95,
435,685,239,218,228.5,5.86,7.44
436,686,217,242,229.5,5.89,7.48
437,687,237,218,227.5,5.85,
438,688,217,242,229.5,5.91,7.51
439,689,217,242,229.5,5.86,7.44
440,690,219,237,228.0,5.8,
441,691,230,229,229.5,5.9,7.49
442,692,214,242,228.0,5.82,
443,693,236,229,232.5,5.87,7.45
444,696,231,231,231.0,5.94,7.54
445,697,229,235,232.0,5.97,7.58
446,698,246,209,227.5,5.8,
447,700,233,231,232.0,5.97,7.58
448,701,228,236,232.0,5.94,7.55
449,702,232,238,235.0,5.99,7.61
450,703,236,232,234.0,5.88,
451,704,234,231,232.5,5.92,7.52
452,705,234,230,232.0,5.93,7.53
453,706,217,238,227.5,5.83,7.4
454,708,224,239,231.5,5.85,
455,710,217,241,229.0,5.85,
456,711,210,244,227.0,5.87,
457,712,235,224,229.5,5.87,7.46
458,713,240,218,229.0,5.85,
459,714,230,231,230.5,5.93,7.53
460,757,219,241,230.0,5.92,7.52
461,758,234,234,234.0,5.98,7.59
462,760,232,234,233.0,5.96,7.57
463,761,219,242,230.5,5.87,7.45
464,762,245,215,230.0,5.88,
465,763,236,214,225.0,5.75,7.3
466,764,231,235,233.0,5.98,
467,765,220,243,231.5,5.91,7.5
468,766,218,242,230.0,5.9,
469,767,241,223,232.0,5.9,
470,768,217,240,228.5,5.95,
471,769,234,226,230.0,5.93,7.53
472,770,242,214,228.0,5.84,7.42
473,771,244,212,228.0,5.9,
474,771,245,213,229.0,5.89,7.48
475,772,242,220,231.0,5.89,7.48
476,773,224,243,233.5,5.92,
477,774,232,227,229.5,5.91,7.5
478,775,230,233,231.5,5.94,7.55
479,776,225,241,233.0,5.92,7.52
480,777,244,223,233.5,5.97,7.58
481,778,230,234,232.0,5.94,7.54
482,779,245,216,230.5,5.88,7.47
483,781,243,221,232.0,5.91,
484,782,228,240,234.0,5.97,7.58
485,783,232,229,230.5,5.94,
486,785,231,230,230.5,5.92,7.52
487,787,231,231,231.0,5.93,7.53
488,789,213,244,228.5,5.88,
489,790,243,214,228.5,5.8,
490,791,222,240,231.0,5.88,7.47
491,792,237,224,230.5,5.9,
492,794,231,234,232.5,5.94,7.55
493,795,231,236,233.5,6.0,
494,796,220,240,230.0,5.86,
495,1849,241,221,231.0,5.87,7.46
496,1850,227,231,229.0,5.9,7.49
497,1851,231,229,230.0,5.92,7.52
498,1852,222,236,229.0,5.87,7.45
499,1853,244,217,230.5,5.93,7.53
500,1854,230,229,229.5,5.94,7.54
501,1855,218,242,230.0,5.87,7.46
502,1856,228,231,229.5,5.92,7.52
503,1857,222,237,229.5,5.86,7.44
504,1858,230,227,228.5,5.88,7.47
505,1859,226,238,232.0,5.89,7.48
506,1860,215,241,228.0,6.07,7.71
507,1861,240,224,232.0,5.89,7.48
508,1862,231,233,232.0,5.84,7.42
509,1863,242,217,229.5,5.87,7.46
510,1864,233,223,228.0,5.87,7.45
511,1865,218,239,228.5,5.83,7.41
512,1866,213,245,229.0,5.91,7.5
513,1867,217,241,229.0,5.9,7.49
514,1868,233,232,232.5,5.97,7.58
515,1869,221,242,231.5,5.91,7.51
516,1870,216,242,229.0,5.87,7.46
517,1871,234,230,232.0,5.95,7.56
518,1872,245,218,231.5,5.93,7.53
519,1873,236,226,231.0,5.87,7.45
520,1874,231,231,231.0,5.98,7.59
521,1875,239,223,231.0,5.9,7.49
522,1876,241,219,230.0,5.91,7.51
523,1877,211,249,230.0,5.92,7.52
524,1878,237,218,227.5,5.85,7.43
525,1879,223,241,232.0,5.9,7.49
526,1880,240,216,228.0,5.83,7.41
527,1881,217,244,230.5,5.88,7.47
528,1882,237,224,230.5,5.9,7.49
529,1883,246,219,232.5,5.91,7.51
530,1884,231,234,232.5,5.96,7.57
531,1885,231,233,232.0,5.95,7.56
532,1886,212,236,224.0,5.77,7.33
533,1887,234,230,232.0,5.94,7.55
534,1888,229,235,232.0,5.95,7.56
535,1889,230,232,231.0,5.95,7.56
536,1890,243,221,232.0,5.96,7.57
537,2899,231,231,231.0,5.95,7.56
538,2900,244,212,228.0,5.89,7.48
539,2901,232,233,232.5,5.99,7.61
540,2902,244,221,232.5,5.94,7.54
541,2903,217,240,228.5,5.9,7.49
542,2904,229,231,230.0,5.92,7.52
543,2905,211,241,226.0,5.86,7.44
544,2906,243,219,231.0,5.9,7.49
545,2907,227,233,230.0,5.91,7.5
546,2908,246,219,232.5,5.94,7.54
547,2909,230,234,232.0,5.94,7.54
548,2910,219,242,230.5,5.9,7.49
549,709,237,233,235.0,5.84,7.42
550,695,229,233,231.0,5.94,7.54
551,770,242,214,228.0,5.84,7.42
552,447,210,237,223.5,5.73,7.28
553,606,236,225,230.5,5.87,7.46
554,623,219,242,230.5,5.87,7.46
555,639,235,233,234.0,5.94,7.55
556,699,224,237,230.5,5.87,7.45
557,135,245,222,233.5,5.94,7.55
558,371,214,233,223.5,5.76,7.31
559,550,242,222,232.0,5.9,7.49
560,451,221,234,227.5,5.81,7.38
561,590,233,232,232.5,5.97,7.58
562,404,218,235,226.5,5.77,7.33
563,361,235,223,229.0,5.83,7.4
564,584,223,239,231.0,5.87,7.46
565,137,233,229,231.0,5.91,7.51
566,32,222,237,229.5,5.86,7.44
567,9,237,225,231.0,5.91,7.5
568,190,213,240,226.5,5.81,7.38
569,128,231,233,232.0,5.9,7.49
570,20,226,237,231.5,5.92,7.52
571,658,235,225,230.0,5.89,7.48
572,786,218,241,229.5,5.86,7.44
573,615,236,232,234.0,5.98,7.6
574,798,218,238,228.0,5.86,7.44
575,703,236,232,234.0,5.87,7.46
576,337,230,233,231.5,5.94,7.54
