Nm,Nm_pm,Bn,Bs,Bav,Fb
311,492,227,225,226.0,5.85
312,493,223,228,225.5,5.86
313,494,228,233,230.5,5.94
314,495,229,230,229.5,5.91
315,496,216,243,229.5,5.84
316,497,242,218,230.0,5.87
317,498,216,239,227.5,5.81
318,499,212,241,226.5,5.82
319,500,225,233,229.0,5.91
320,501,234,233,233.5,5.95
321,502,221,239,230.0,5.8
322,504,240,211,225.5,5.82
323,547,222,238,230.0,5.88
324,548,224,240,232.0,5.89
325,549,223,237,230.0,5.84
326,551,241,216,228.5,5.84
327,552,237,225,231.0,5.85
328,553,233,222,227.5,5.81
329,554,216,243,229.5,5.87
330,555,214,238,226.0,5.8
331,556,210,245,227.5,5.88
332,557,214,236,225.0,5.77
333,558,241,214,227.5,5.85
334,559,243,215,229.0,5.87
335,562,235,226,230.5,5.8
336,563,241,220,230.5,5.9
337,564,225,240,232.5,5.87
338,565,228,233,230.5,5.91
339,566,242,216,229.0,5.86
340,567,215,241,228.0,5.85
341,568,232,231,231.5,5.92
342,569,231,231,231.0,5.92
343,570,239,221,230.0,5.86
344,571,229,235,232.0,5.94
345,573,225,241,233.0,5.91
346,574,227,236,231.5,5.86
347,577,239,213,226.0,5.83
348,578,239,223,231.0,5.85
349,579,221,236,228.5,5.85
350,580,230,234,232.0,5.91
351,581,238,224,231.0,5.84
352,582,223,240,231.5,5.9
353,583,236,231,233.5,5.97
354,584,224,240,232.0,5.9
355,585,243,218,230.5,5.85
356,586,241,223,232.0,5.9
357,587,235,236,235.5,6.0
358,588,245,218,231.5,5.89
359,591,230,235,232.5,5.95
360,592,217,242,229.5,5.91
361,593,221,237,229.0,5.86
362,593,222,239,230.5,5.87
363,594,227,230,228.5,5.85
364,595,237,220,228.5,5.94
365,596,244,214,229.0,5.87
366,597,235,232,233.5,5.98
367,601,216,246,231.0,5.91
368,602,229,232,230.5,5.94
369,603,235,235,235.0,5.98
370,604,242,216,229.0,5.85
372,607,231,231,231.0,5.95
373,608,216,242,229.0,5.88
374,609,241,226,233.5,5.93
375,611,241,215,228.0,5.86
376,612,220,243,231.5,5.92
377,613,231,232,231.5,5.98
378,616,217,246,231.5,5.9
379,617,237,230,233.5,5.88
380,618,231,234,232.5,5.95
381,620,232,238,235.0,5.95
383,621,220,247,233.5,5.94
384,622,237,227,232.0,5.91
386,624,224,232,228.0,5.83
