Nm1,Bm1_N,Bm1_S,Fm1,Nm2,Bm2_N,Bm2_S,Fm2,Bpair_N,Bpair_S,Fpair_N
705,234,230,5.93,760,232,234,5.96,343,342,11.94
709,237,233,5.84,702,232,238,5.99,347,343,11.88
712,235,224,5.87,631,222,237,5.87,340,342,11.76
713,240,218,5.85,236,220,242,5.87,344,347,11.77
714,230,231,5.93,696,231,231,5.94,338,338,11.95
762,245,215,5.88,683,215,244,5.85,347,349,11.76
767,241,223,5.9,383,217,240,5.83,344,345,11.78
769,234,226,5.93,580,230,234,5.91,343,342,11.89
770,242,214,5.84,1860,215,241,6.07,346,344,11.74
771,245,213,5.89,621,220,247,5.94,350,350,11.87
772,242,220,5.89,650,220,241,5.85,348,346,11.8
774,232,227,5.91,1888,229,235,5.95,340,343,11.9
777,244,223,5.97,25,221,244,5.93,351,350,11.92
779,245,216,5.88,689,217,242,5.86,348,346,11.79
781,243,221,5.91,711,210,244,5.87,347,351,11.83
783,232,229,5.94,465,231,231,5.91,340,340,11.88
785,231,230,5.92,2901,232,233,5.99,340,342,11.93
790,243,214,5.8,789,213,244,5.88,348,348,11.77
792,237,224,5.9,649,222,237,5.85,344,346,11.81
85,242,216,5.85,91,220,245,5.93,348,350,11.81
86,234,227,5.89,114,221,233,5.84,339,340,11.76
87,234,226,5.91,170,228,239,5.96,341,347,11.91
88,235,229,5.92,106,230,235,5.91,343,343,11.86
89,244,223,5.96,635,223,245,5.95,351,352,11.95
9,237,225,5.91,1852,222,236,5.87,341,342,11.81
90,238,218,5.82,367,222,240,5.92,344,345,11.77
92,242,226,5.97,499,212,241,5.82,345,347,11.83
95,235,228,5.91,485,227,235,5.87,341,341,11.81
96,233,230,5.91,117,233,234,5.94,342,341,11.88
97,241,220,5.92,394,221,240,5.91,347,346,11.87
98,248,219,5.89,1866,213,245,5.91,352,351,11.83
99,233,232,5.91,111,230,232,5.91,341,341,11.86
146,236,224,5.85,196,237,221,5.86,346,325,11.78
163,218,244,5.91,145,221,236,5.84,323,348,11.84
166,223,238,5.87,23,221,243,5.94,326,349,11.82
182,232,233,5.86,18,250,215,5.86,344,325,11.93
193,233,235,5.89,168,213,250,5.88,336,356,11.85
199,220,242,5.89,179,220,239,5.84,324,351,11.82
205,220,242,5.89,341,210,243,5.85,325,353,11.84
225,233,230,5.8,226,239,216,5.8,342,323,11.82
228,231,230,5.85,386,243,216,5.75,341,322,11.88
235,219,249,5.96,371,214,233,5.76,323,345,11.79
236,220,242,5.87,338,222,236,5.82,326,345,11.77
344,236,224,5.84,202,234,221,5.83,345,327,11.75
345,242,211,5.85,366,231,229,5.87,353,332,11.79
362,223,238,5.85,212,224,239,5.88,328,345,11.8
437,237,235,5.96,424,239,223,5.87,345,327,11.89
444,240,222,5.89,475,236,226,5.87,347,327,11.82
462,227,239,5.88,460,219,244,5.89,331,354,11.8
484,243,215,5.87,568,232,231,5.92,353,335,11.9
499,212,241,5.82,402,230,231,5.9,321,341,11.8
500,225,233,5.91,447,210,237,5.73,324,343,11.74
501,234,233,5.95,466,241,211,5.8,343,321,11.81
502,221,239,5.8,453,219,237,5.8,321,343,11.78
554,216,243,5.87,465,231,231,5.91,324,341,11.81
564,225,240,5.87,426,218,240,5.85,330,351,11.8
571,229,235,5.94,504,240,211,5.82,337,316,11.84
573,225,241,5.91,464,224,239,5.88,331,352,11.85
584,223,239,5.87,422,223,235,5.89,326,346,11.83
592,217,242,5.91,594,227,230,5.85,321,339,11.82
612,220,243,5.92,683,215,244,5.85,324,352,11.83
620,232,238,5.95,790,243,214,5.8,341,322,11.9
621,220,247,5.94,708,224,239,5.85,324,349,11.9
627,232,233,5.9,698,246,209,5.8,343,319,11.88
649,222,237,5.85,650,220,241,5.85,326,351,11.87
652,233,230,5.94,770,242,214,5.84,342,323,11.85
662,237,223,5.86,713,240,218,5.85,345,324,11.83
664,220,244,5.85,655,219,245,5.85,328,354,11.95
677,224,247,5.9,690,219,237,5.8,328,347,11.88
680,217,245,5.93,670,229,234,5.96,326,346,11.96
684,228,233,5.95,796,220,240,5.86,332,351,11.94
702,232,238,5.99,692,214,242,5.82,336,354,11.99
773,224,243,5.92,710,217,241,5.85,327,353,11.84
778,230,234,5.94,611,241,215,5.86,339,322,11.88
783,232,229,5.94,711,210,244,5.87,333,353,11.87
792,237,224,5.9,781,243,221,5.91,347,325,11.92
794,231,234,5.94,616,217,246,5.9,333,353,11.99
795,231,236,6.0,789,213,244,5.88,333,351,11.96
2552,245,215,5.88976378,2549,233,239,5.960629921,352,342,11.8897637795276
2555,243,219,5.897637795,2562,215,247,5.874015748,347,352,11.8267716535433
2560,242,218,5.834645669,2556,224,242,5.937007874,347,344,11.8346456692913
2554,222,241,5.913385827,2551,227,241,5.937007874,327,350,11.9055118110236
2557,236,228,5.929133858,2558,231,234,5.960629921,343,341,11.9212598425197
