П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
248;681 - 199;681;199;347;347;347,00;0,93;11,81;11,82;11,82;-0,13;;;;;;;
249;682 - 183;682;183;341;345;343,00;-0,23;11,87;11,85;11,86;0,24;15,07;15,05;;;;;
250;685 - 479;685;479;344;344;344,00;0,06;11,76;11,76;11,76;-0,63;14,93;14,93;;;;;
251;687 - 768;687;768;343;345;344;0,06;11,82;11,82;11,82;-0,08;;;;;;;
252;691 - 696;691;696;338;338;338,00;-1,69;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
253;693 - 373;693;373;344;339;341,50;-0,67;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
254;698 - 341;698;341;351;347;349,00;1,51;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
255;7 - 372;7;372;338;339;338,50;-1,54;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
256;700 - 624;700;624;338;341;339,50;-1,25;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
257;703 - ;703;;345;340;342,50;-0,38;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
258;704 - 697;704;697;343;344;343,50;-0,09;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
259;705 - 760;705;760;343;342;342,5;-0,38;11,94;11,94;11,94;0,97;15,17;15,17;;;;;
260;709 - 702;709;702;347;343;345;0,35;11,88;11,89;11,89;0,47;15,09;15,1;;;;;
261;712 - 631;712;631;340;342;341,00;-0,81;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
262;713 -236;713;36;344;347;345,50;0,49;11,77;11,77;11,77;-0,51;;;;;;;
263;714 - 696;714;696;338;338;338;-1,69;11,95;11,88;11,92;0,72;;;;;;;
264;762 - 683;762;683;347;349;348,00;1,22;11,76;11,76;11,76;-0,59;;;;;;;
265;767 - 383;767;383;344;345;344,50;0,20;11,78;11,76;11,77;-0,51;;;;;;;
266;769 - 580;769;580;343;342;342,50;-0,38;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
267;770 - 1860;770;1860;346;344;345,00;0,35;11,74;11,74;11,74;-0,76;14,91;14,91;;;;;
268;771 - 621;771;621;350;350;350,00;1,80;11,87;11,87;11,87;0,37;15,08;15,08;;;;;
269;772 - 650;772;650;348;346;347;0,93;11,80;11,80;11,80;-0,26;14,98;14,99;;;;;
270;774 - 1888;774;1888;340;343;341,50;-0,67;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
271;777 - 25;777;25;351;350;350,5;1,95;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
272;779 - 689;779;689;348;346;347,00;0,93;11,79;11,80;11,79;-0,33;14,97;14,98;;;;;
273;781 - 711;781;711;347;351;349,00;1,51;11,83;11,81;11,82;-0,08;;;;;;;
274;783 - 465;783;465;340;340;340,00;-1,11;11,88;11,85;11,87;0,30;;;;;;;
275;784 - 759;784;759;342;340;341;-0,81;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
276;785 - 2901;785;2901;340;342;341,00;-0,81;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
277;790 - 789;790;789;348;348;348,00;1,22;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
278;792 - 649;792;649;344;346;345,00;0,35;11,81;11,81;11,81;-0,16;15;15;;;;;
279;797 - 657;797;657;341;341;341;-0,81;11,88;11,90;11,89;0,51;15,09;15,11;;;;;
280;85 - 91;85;91;348;350;349,00;1,51;11,81;11,81;11,81;-0,16;15;15;;;;;
281;86 - 114;86;114;339;340;339,50;-1,25;11,76;11,76;11,76;-0,63;14,93;14,93;;;;;
282;87 - 170;87;170;341;347;344,00;0,06;11,91;11,91;11,91;0,70;15,13;15,13;;;;;
283;88 - 106;88;106;343;343;343,00;-0,23;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
284;89 - 635;89;635;351;352;351,50;2,24;11,95;11,95;11,95;1,04;15,18;15,18;;;;;
285;9 - 1852;9;1852;341;342;341,50;-0,67;11,81;11,81;11,81;-0,16;15;15;;;;;
286;90 - 367;90;367;344;345;344,50;0,20;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
287;92 - 499;92;499;345;347;346,00;0,64;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
288;95 - 485;95;485;341;341;341,00;-0,81;11,81;11,81;11,81;-0,16;15;15;;;;;
289;96 - 117;96;117;342;341;341,50;-0,67;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
290;97 - 394;97;394;347;346;346,50;0,79;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
291;98 - 1866;98;1866;352;351;351,50;2,24;11,83;11,84;11,83;0,04;15,02;15,04;;;;;
292;99 - 111;99;111;341;341;341,00;-0,81;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
