П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
46;1853 - 1855;1853;1855;349;348;348,50;1,37;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
47;1854 - 1856;1854;1856;339;340;339,50;-1,25;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
48;186 - 2907;186;2907;339;339;339,00;-1,40;11,78;11,77;11,78;-0,46;14,96;14,95;;;;;
49;1861 - 1865;1861;1865;345;344;344,50;0,20;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
50;1862 - 1868;1862;1868;342;341;341,50;-0,67;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
51;1863 - 1867;1863;1867;348;346;347,00;0,93;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
52;1864 - 500;1864;500;340;339;339,50;-1,25;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
53;187 - 363;187;363;339;341;340,00;-1,11;11,70;11,70;11,70;-1,09;14,86;14,86;;;;;
54;1871 - 1889;1871;1889;343;341;342,00;-0,52;11,94;11,94;11,94;0,90;15,16;15,16;;;;;
55;1872 - 1870;1872;1870;350;346;348,00;1,22;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
56;1873 - 782;1873;782;342;346;344,00;0,06;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
57;1875 - 115;1875;115;346;344;345,00;0,35;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
58;1876 - 2910;1876;2910;346;347;346,50;0,79;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
59;1878 - 1886;1878;1886;341;341;341,00;-0,81;11,69;11,69;11,69;-1,23;14,84;14,84;;;;;
60;188 - 661;188;661;345;345;345,00;0,35;11,81;11,81;11,81;-0,16;15;15;;;;;
61;1880 - 192;1880;192;344;345;344,50;0,20;11,74;11,74;11,74;-0,76;14,91;14,91;;;;;
62;1882 - 706;1882;706;342;345;343,50;-0,09;11,80;11,80;11,80;-0,29;14,98;14,98;;;;;
63;1887 - 1884;1887;1884;342;343;342,50;-0,38;11,95;11,95;11,95;1,04;15,18;15,18;;;;;
64;189 - 567;189;567;349;345;347,00;0,93;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
65;1890 - 217;1890;217;350;347;348,50;1,37;11,87;11,87;11,87;0,37;15,08;15,08;;;;;
